user_id,device_id,ip_address,location,browser_fingerprint,first_seen,last_seen
U00001,DEVERBKN3DKVR,192.168.221.98,US,FPNBHGPBKTMAV6763V,2025-07-23 11:05:47.475805,2026-07-12 11:05:47.481056
U00002,DEV0W52713T87,192.168.74.220,DE,FP9TPZ1J8Q9I6KYJ91,2026-02-10 11:05:47.475822,2026-07-12 11:05:47.481085
U00003,DEVUBJJJX1ALX,192.168.215.68,DE,FP4PAABMWUOUC6T8PJ,2025-09-09 11:05:47.475827,2026-07-12 11:05:47.481105
U00004,DEV5EWFWBEBY4,192.168.149.82,FR,FPBZCZJJY4MZVMCPSI,2026-04-29 11:05:47.475830,2026-07-10 11:05:47.481121
U00005,DEVN3OX5FL2MO,192.168.167.96,US,FPQ9WFB76AV3S2SUMH,2026-06-02 11:05:47.475832,2026-07-09 11:05:47.481136
U00006,DEV0N9CC7ISUT,192.168.108.138,UK,FP04SBRSPJ4KII1NQ0,2025-08-18 11:05:47.475834,2026-07-09 11:05:47.481150
U00007,DEVI05NMS6XVQ,192.168.108.59,JP,FPU3ET1OVEJKLCP9UW,2026-03-26 11:05:47.475836,2026-07-13 11:05:47.481163
U00008,DEV5AEJT70EBP,192.168.177.43,FR,FP9E576MOUZE66VW9B,2026-02-25 11:05:47.475838,2026-07-11 11:05:47.481176
U00009,DEV6W0P1Z00V3,192.168.131.22,CA,FPFAVYQLG0K1IRBSSS,2026-04-27 11:05:47.475840,2026-07-12 11:05:47.481188
U00010,DEVLLGF309HSU,192.168.158.81,US,FPDKEJP5K7917XFH41,2026-05-24 11:05:47.475842,2026-07-10 11:05:47.481199
U00011,DEV68T2A3AH7U,192.168.188.114,UK,FPS3KDZ4PPJ590EMC2,2025-12-04 11:05:47.475843,2026-07-12 11:05:47.481211
U00012,DEVFMQ0YCY6BD,192.168.181.204,SG,FPSGU4W8WIV5HHQRGR,2025-08-03 11:05:47.475845,2026-07-13 11:05:47.481223
U00013,DEVWDS0HPRWZB,192.168.177.68,DE,FPWWIMT8545YRWVTKH,2026-05-23 11:05:47.475847,2026-07-11 11:05:47.481235
U00014,DEV8LXEQLEZZ1,192.168.124.216,DE,FP2ROIKS62C1JLOPO6,2026-02-16 11:05:47.475848,2026-07-11 11:05:47.481246
U00015,DEV0M3LOUFHW8,192.168.158.157,JP,FPLVA02DZ61TXSNHFT,2025-07-25 11:05:47.475850,2026-07-12 11:05:47.481257
U00016,DEV26LH07BA7D,192.168.102.203,CA,FPRFKI1IJE2XE0JDCZ,2026-02-28 11:05:47.475852,2026-07-14 11:05:47.481268
U00017,DEVA3VF02GVLL,192.168.132.191,CA,FPAJHJXQKD8UR6TIAR,2026-03-20 11:05:47.475853,2026-07-12 11:05:47.481280
U00018,DEV1ZQUA1QRDL,192.168.37.208,SG,FPWDUH7VDO4S41CRO0,2026-01-28 11:05:47.475855,2026-07-14 11:05:47.481291
U00019,DEVLUOAY12TLX,192.168.83.119,SG,FPZS49CDZN1F0FP8BP,2026-05-18 11:05:47.475856,2026-07-09 11:05:47.481302
U00020,DEV2R0TOKPK7Y,192.168.134.83,AU,FPWNXFSHWZSJQ77Z4E,2025-11-22 11:05:47.475858,2026-07-14 11:05:47.481313
