user_id,country,kyc_level,account_created_time,vip_level
U00001,UK,NONE,2025-07-23 11:05:47.475805,NORMAL
U00002,JP,BASIC,2026-02-10 11:05:47.475822,NORMAL
U00003,UK,FULL,2025-09-09 11:05:47.475827,NORMAL
U00004,JP,BASIC,2026-04-29 11:05:47.475830,NORMAL
U00005,JP,FULL,2026-06-02 11:05:47.475832,NORMAL
U00006,DE,NONE,2025-08-18 11:05:47.475834,NORMAL
U00007,CA,INTERMEDIATE,2026-03-26 11:05:47.475836,NORMAL
U00008,FR,NONE,2026-02-25 11:05:47.475838,NORMAL
U00009,FR,INTERMEDIATE,2026-04-27 11:05:47.475840,NORMAL
U00010,AU,NONE,2026-05-24 11:05:47.475842,GOLD
U00011,UK,INTERMEDIATE,2025-12-04 11:05:47.475843,SILVER
U00012,FR,BASIC,2025-08-03 11:05:47.475845,NORMAL
U00013,JP,INTERMEDIATE,2026-05-23 11:05:47.475847,PLATINUM
U00014,UK,FULL,2026-02-16 11:05:47.475848,NORMAL
U00015,FR,BASIC,2025-07-25 11:05:47.475850,NORMAL
U00016,DE,NONE,2026-02-28 11:05:47.475852,NORMAL
U00017,JP,BASIC,2026-03-20 11:05:47.475853,NORMAL
U00018,JP,INTERMEDIATE,2026-01-28 11:05:47.475855,SILVER
U00019,JP,NONE,2026-05-18 11:05:47.475856,SILVER
U00020,DE,NONE,2025-11-22 11:05:47.475858,NORMAL
U00021,FR,BASIC,2025-08-29 11:05:47.475860,NORMAL
U00022,AU,BASIC,2025-11-25 11:05:47.475861,NORMAL
U00023,DE,FULL,2026-02-09 11:05:47.475862,SILVER
U00024,FR,BASIC,2025-11-23 11:05:47.475864,PLATINUM
U00025,AU,NONE,2026-04-06 11:05:47.475865,NORMAL
U00026,SG,BASIC,2026-04-20 11:05:47.475867,NORMAL
U00027,UK,FULL,2025-11-11 11:05:47.475868,NORMAL
U00028,DE,NONE,2025-10-19 11:05:47.475870,NORMAL
U00029,DE,INTERMEDIATE,2026-04-18 11:05:47.475871,NORMAL
U00030,SG,FULL,2025-11-05 11:05:47.475873,NORMAL
U00031,SG,NONE,2026-02-01 11:05:47.475874,SILVER
U00032,JP,BASIC,2026-01-14 11:05:47.475876,NORMAL
U00033,US,INTERMEDIATE,2026-03-25 11:05:47.475878,NORMAL
U00034,FR,INTERMEDIATE,2026-04-19 11:05:47.475879,NORMAL
U00035,UK,NONE,2026-02-12 11:05:47.475881,NORMAL
U00036,SG,BASIC,2026-05-11 11:05:47.475882,NORMAL
U00037,SG,INTERMEDIATE,2025-09-07 11:05:47.475883,NORMAL
U00038,CA,BASIC,2025-08-09 11:05:47.475885,GOLD
U00039,DE,FULL,2026-03-05 11:05:47.475886,PLATINUM
U00040,FR,FULL,2025-07-18 11:05:47.475888,SILVER
U00041,UK,BASIC,2025-10-27 11:05:47.475889,NORMAL
U00042,US,BASIC,2025-12-24 11:05:47.475891,NORMAL
U00043,UK,NONE,2026-06-12 11:05:47.475892,NORMAL
U00044,FR,NONE,2026-05-30 11:05:47.475894,NORMAL
U00045,AU,BASIC,2026-01-24 11:05:47.475895,NORMAL
U00046,AU,BASIC,2025-08-27 11:05:47.475896,NORMAL
U00047,JP,NONE,2025-11-19 11:05:47.475898,NORMAL
U00048,FR,FULL,2025-11-07 11:05:47.475899,NORMAL
U00049,UK,NONE,2026-05-19 11:05:47.475901,NORMAL
U00050,UK,BASIC,2025-12-24 11:05:47.475902,NORMAL
U00051,AU,BASIC,2025-09-14 11:05:47.475903,NORMAL
U00052,AU,BASIC,2026-01-24 11:05:47.475905,SILVER
U00053,AU,NONE,2026-05-08 11:05:47.475906,NORMAL
U00054,US,NONE,2025-09-12 11:05:47.475908,GOLD
U00055,SG,FULL,2026-02-14 11:05:47.475909,NORMAL
U00056,CA,NONE,2026-02-26 11:05:47.475911,NORMAL
U00057,CA,INTERMEDIATE,2026-06-14 11:05:47.475912,GOLD
U00058,DE,FULL,2025-10-26 11:05:47.475913,NORMAL
U00059,AU,BASIC,2025-09-04 11:05:47.475915,NORMAL
U00060,US,NONE,2026-02-24 11:05:47.475916,NORMAL
U00061,US,FULL,2026-05-17 11:05:47.475918,NORMAL
U00062,SG,NONE,2025-09-17 11:05:47.475919,GOLD
U00063,SG,NONE,2026-05-05 11:05:47.475921,NORMAL
U00064,CA,NONE,2026-02-15 11:05:47.475922,GOLD
U00065,JP,NONE,2025-08-28 11:05:47.475923,NORMAL
U00066,FR,INTERMEDIATE,2025-11-13 11:05:47.475925,NORMAL
U00067,JP,INTERMEDIATE,2026-01-06 11:05:47.475926,NORMAL
U00068,DE,FULL,2025-07-20 11:05:47.475928,NORMAL
U00069,US,FULL,2026-05-09 11:05:47.475929,NORMAL
U00070,UK,NONE,2025-08-31 11:05:47.475931,NORMAL
U00071,DE,BASIC,2025-09-29 11:05:47.475932,GOLD
U00072,JP,INTERMEDIATE,2026-05-11 11:05:47.475934,NORMAL
U00073,DE,NONE,2025-11-03 11:05:47.475935,NORMAL
U00074,DE,NONE,2025-09-05 11:05:47.475937,GOLD
U00075,DE,NONE,2026-04-08 11:05:47.475938,SILVER
U00076,SG,INTERMEDIATE,2025-09-05 11:05:47.475940,NORMAL
U00077,FR,BASIC,2026-02-28 11:05:47.475941,NORMAL
U00078,AU,INTERMEDIATE,2026-01-31 11:05:47.475943,GOLD
U00079,UK,FULL,2026-05-20 11:05:47.475944,SILVER
U00080,US,INTERMEDIATE,2026-05-24 11:05:47.475946,NORMAL
U00081,DE,BASIC,2025-07-24 11:05:47.475947,NORMAL
U00082,CA,NONE,2025-09-06 11:05:47.475948,NORMAL
U00083,US,INTERMEDIATE,2026-03-31 11:05:47.475950,NORMAL
U00084,CA,BASIC,2026-04-01 11:05:47.475952,NORMAL
U00085,US,INTERMEDIATE,2025-12-11 11:05:47.475953,NORMAL
U00086,UK,INTERMEDIATE,2026-02-08 11:05:47.475954,NORMAL
U00087,SG,BASIC,2025-11-19 11:05:47.475956,SILVER
U00088,CA,NONE,2026-03-17 11:05:47.475958,NORMAL
U00089,CA,BASIC,2025-12-27 11:05:47.475959,NORMAL
U00090,CA,NONE,2026-04-21 11:05:47.475960,SILVER
U00091,JP,FULL,2026-02-22 11:05:47.475962,NORMAL
U00092,JP,NONE,2026-02-19 11:05:47.475963,NORMAL
U00093,FR,INTERMEDIATE,2025-11-23 11:05:47.475965,SILVER
U00094,FR,FULL,2026-01-24 11:05:47.475966,NORMAL
U00095,FR,NONE,2025-09-14 11:05:47.475968,NORMAL
U00096,SG,INTERMEDIATE,2026-02-02 11:05:47.475969,NORMAL
U00097,CA,INTERMEDIATE,2025-08-14 11:05:47.475971,NORMAL
U00098,CA,NONE,2026-01-06 11:05:47.475972,NORMAL
U00099,JP,INTERMEDIATE,2025-08-24 11:05:47.475973,NORMAL
U00100,US,BASIC,2025-11-04 11:05:47.475975,NORMAL
U00101,FR,INTERMEDIATE,2026-05-11 11:05:47.475976,NORMAL
U00102,DE,INTERMEDIATE,2026-04-13 11:05:47.475978,NORMAL
U00103,CA,INTERMEDIATE,2025-12-30 11:05:47.475979,NORMAL
U00104,CA,FULL,2026-03-09 11:05:47.475981,NORMAL
U00105,DE,FULL,2026-03-18 11:05:47.475982,NORMAL
U00106,DE,INTERMEDIATE,2026-06-15 11:05:47.475984,NORMAL
U00107,FR,FULL,2025-08-23 11:05:47.475985,NORMAL
U00108,AU,BASIC,2026-02-26 11:05:47.475986,NORMAL
U00109,FR,NONE,2026-01-21 11:05:47.475988,SILVER
U00110,DE,BASIC,2026-02-15 11:05:47.475989,SILVER
U00111,US,NONE,2026-04-01 11:05:47.475991,NORMAL
U00112,UK,FULL,2025-10-15 11:05:47.475992,NORMAL
U00113,JP,FULL,2025-07-28 11:05:47.475994,NORMAL
U00114,SG,NONE,2026-02-11 11:05:47.475995,SILVER
U00115,CA,BASIC,2026-04-22 11:05:47.475997,NORMAL
U00116,AU,NONE,2025-09-23 11:05:47.475998,NORMAL
U00117,AU,BASIC,2026-04-14 11:05:47.476000,SILVER
U00118,FR,FULL,2025-09-17 11:05:47.476001,NORMAL
U00119,CA,FULL,2025-09-30 11:05:47.476003,SILVER
U00120,AU,INTERMEDIATE,2025-10-15 11:05:47.476004,NORMAL
U00121,DE,FULL,2025-07-24 11:05:47.476006,NORMAL
U00122,AU,NONE,2026-01-26 11:05:47.476007,NORMAL
U00123,DE,INTERMEDIATE,2026-02-15 11:05:47.476009,NORMAL
U00124,UK,BASIC,2025-09-12 11:05:47.476010,NORMAL
U00125,SG,BASIC,2025-12-01 11:05:47.476011,NORMAL
