withdraw_id,user_id,asset,amount,address,is_new_address,timestamp
W000001,U00001,ETH,2.429043,0x1sny74p0l2rzyreo0ctmoe1ifvp0o3qrcc53diz1,True,2026-06-26 08:05:47.729301
W000002,U00001,USDT,0.540715,0xf73de014r6b5adva87xij0dv05xz9bc9g6x49m36,False,2026-06-17 08:05:47.729317
W000003,U00002,BTC,4.571577,0xickbak6fdlilm1phlisl5wqu222pt9sg5lzs01pc,True,2026-07-02 20:05:47.729347
W000004,U00002,BTC,0.791567,0xoa0nwpslp46hhit2lnnlf8cziw563pcjq8lhedc5,False,2026-06-15 13:05:47.729353
W000005,U00003,USDT,0.016369,0xvttxjznr66f042gihjja2dfgqiudnv9jn3lxc0fl,True,2026-07-03 18:05:47.729372
W000006,U00004,ETH,3.626906,0xt28kjlnxexfg2qyh9mqdk2iqdwwzb30catu2mguj,True,2026-06-21 03:05:47.729408
W000007,U00004,ETH,1.106913,0x9touqoew4cmkxvitobu0egxe2hxpfm4obyiq5zky,False,2026-07-07 01:05:47.729416
W000008,U00004,USDT,2.882535,0xlm69usgkjo4iab0gi6vckb340ak81vof5q2864t4,False,2026-06-16 06:05:47.729420
W000009,U00004,USDT,3.105032,0x7xpcdvvxcfrbhwkubuoaymqjz4eewzi0pbd9zkao,False,2026-07-01 15:05:47.729424
W000010,U00004,ETH,2.540551,0xdo8p2brmqk3fs98649qpcegpx1fcd4ccuq21ffyh,False,2026-06-25 20:05:47.729428
W000011,U00004,ETH,1.155244,0xzjor8j8fk1qbbw3la1gqegzeuv0ygrsgi8lq2joz,False,2026-06-24 15:05:47.729432
W000012,U00004,USDT,0.40242,0xsaeiw20f5bdjygygkf08p7vu2vqekw2co821xf5p,False,2026-06-28 14:05:47.729435
W000013,U00004,ETH,3.143114,0xvyyh7w27rzlp7wmtzz581lfobyxw3xmswwt1i3xj,False,2026-07-04 02:05:47.729439
W000014,U00005,ETH,4.987905,0x6myoely52ox9l2o1vgl1mmwhhc35yt3ymheeed81,True,2026-07-01 16:05:47.729476
W000015,U00005,BTC,4.296916,0xur46jtucivued8r43pj8eq3esxl3wkrougm51z8z,False,2026-06-20 12:05:47.729480
W000016,U00005,ETH,1.470463,0xb3wmql960wiqflfd31oemiwaww7ulwxvr3ctu2jo,False,2026-06-28 14:05:47.729484
W000017,U00005,USDT,4.424238,0xzj3insni37x8tbusdondfprkqzij9xd6o4hd3g8c,False,2026-07-01 20:05:47.729487
W000018,U00005,ETH,1.041066,0xj4vdk9190okg1m0h27hsawgskzqrx104bulzt9al,False,2026-06-22 07:05:47.729490
W000019,U00005,ETH,1.245317,0xkzt3pb46lzphbguqiox4ukcxa5xkpspkdft0ygkw,False,2026-06-21 00:05:47.729494
W000020,U00005,USDT,1.462993,0xc3djud1m0ajvftvvtnmtmzxcyhne6m8peyieu450,False,2026-07-13 22:05:47.729497
